Models,Single-Gene Detection,Pairwise-Gene Detection,Gene Dominance Ranking,Song-Level Gene Detection,Full Structural Segmentation,Section Structural Segmentation,Artist Counting,Artist Duration,Artist Localization,Artist Attribution,"Full Structural Lyrics Transcription""",Section Structural Lyrics Transcription
Gemini-2.5 Pro,73.73,10.88,21.2,48.9,32.34,22.978,25.766,8.25,3.12,56.6575,1.3457,2.3957
Qwen3-Omni,60.9,6.16,15.2,48.9,28.88,22.074,18.538,9.78,9.38,63.6575,2.9174,1.7588
Step-Audio-R1,57.91,10.27,18.18,48.94,32.19,17.73,19.34,6.42,7.81,53.13,3.5736,3.6083
Gemini-2.5-Flash,57.61,6.8,24.2,42.6,24.47,15.15,20.3975,7.655,3.12,56.805,18.5109,15.973
Music Flamingo,49.25,4.76,0,25.5,13.07,2.594,33.544,4.27,4.69,56.9675,5.3628,7.7204
R1-AQA,34.03,0,0,30.9,5.91,4.164,35.034,0.9175,0,50.8425,1.4968,1.7511
Gemma 3n,35.22,4.76,3.03,31.91,8.92,4.35,12.25,0.3,1.56,40.8,1.3736,1.7
Audio Flamingo 3,44.2,8.18,0,30.9,7.03,0.008,21.918,1.84,0,49.8025,4.6836,2.764
Voxtral-Small-24B,37.61,8.84,9.1,17,32.16,8.84,9.09,2.755,0,38.5225,2.7811,15.4584
SALMONN-7B,25.37,1.36,0.3,28.7,3.18,0.122,27.324,0.6125,0,34.86,7.6098,20.5945
Kimi Audio,37.61,4.76,0,0,13.06,2.638,19.118,0.9175,0,52.0675,18.326,54.5587
Phi4-mm-instruct,33.73,1.36,9.1,21.3,2.71,0.158,23.586,3.675,0,38.5125,79.2893,364.5398
Mellow,0.3,0,0,0,0,0,0,2.1425,0,0,19.0222,3.4589
Audio-Reasoner,33.73,3.4,6.06,30.85,6.63,2.91,8.47,3.06,0,2.31,-,-
,,,,,,,,,,,,
,,,,,,,,,,,,
G2.5 Flash No Think,52.54,8.84,12.1,26.6,31.03,13.212,16.096,3.0525,1.56,45.64,31.0912,90.0189
,,,,,,,,,,,,
Qwen3-Omni No Think,59.4,5.48,27.27,39.36,23.97,17.04,23.48,4.58,4.69,48.65,4.4642,25.0051
